"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N"
"1" "Chr2" "TAIR10" "gene" 3045559 3046744 "AT2G07340" 1 NA NA NA NA
"2" "Chr2" "TAIR10" "gene" 3047252 3057196 "AT2G07360" 1 NA NA NA NA
"3" "Chr2" "TAIR10" "gene" 3047252 3057196 "AT2G07360" 1 NA NA NA NA
"4" "Chr2" "TAIR10" "gene" 3058918 3059043 "AT2G07362" 1 NA NA NA NA
"5" "Chr2" "TAIR10" "gene" 3059157 3059306 "AT2G07363" 1 NA NA NA NA
"6" "Chr2" "TAIR10" "gene" 4096001 4096920 "AT2G10550" 1 NA NA NA NA
"7" "Chr2" "TAIR10" "gene" 8169546 8172523 "AT2G18876" 1 NA NA NA NA
"8" "Chr2" "TAIR10" "gene" 8172189 8178995 "AT2G18880" 1 NA NA NA NA
"9" "Chr2" "TAIR10" "gene" 8172189 8178995 "AT2G18880" 1 NA NA NA NA
"10" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"11" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"12" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"13" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"14" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"15" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"16" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"17" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"18" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"19" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"20" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"21" "Chr4" "TAIR10" "gene" 9467563 9469116 "AT4G16820" 1 NA NA NA NA
"22" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA
"23" "Chr5" "TAIR10" "gene" 16807483 16810646 "AT5G42020" 1 NA NA NA NA
"24" "Chr1" "TAIR10" "gene" 2646189 2649379 "AT1G08410" NA 1 NA NA NA
"25" "Chr1" "TAIR10" "gene" 2649537 2657120 "AT1G08420" NA 1 NA NA NA
"26" "Chr1" "TAIR10" "gene" 7254007 7258677 "AT1G20860" NA 1 NA NA NA
"27" "Chr1" "TAIR10" "gene" 8720309 8720721 "AT1G24600" NA 1 NA NA NA
"28" "Chr1" "TAIR10" "gene" 8720651 8722746 "AT1G24610" NA 1 NA NA NA
"29" "Chr1" "TAIR10" "gene" 8720309 8720721 "AT1G24600" NA 1 NA NA NA
"30" "Chr1" "TAIR10" "gene" 8720651 8722746 "AT1G24610" NA 1 NA NA NA
"31" "Chr1" "TAIR10" "gene" 8720651 8722746 "AT1G24610" NA 1 NA NA NA
