"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N" "C" "Mg" "Na" "Comp1"
"1" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA NA NA NA NA
"2" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA NA
"3" "Chr1" "TAIR10" "gene" 2646189 2649379 "AT1G08410" NA 1 NA NA NA NA NA NA NA
"4" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA NA NA NA NA
"5" "Chr1" "TAIR10" "gene" 22744207 22746111 "AT1G61630" NA NA 1 NA NA NA NA NA NA
"6" "Chr1" "TAIR10" "gene" 24959334 24961616 "AT1G66900" NA NA 1 NA NA NA NA NA NA
"7" "Chr3" "TAIR10" "gene" 20296232 20298691 "AT3G54810" NA NA 1 NA NA NA NA NA NA
"8" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA NA NA NA NA
"9" "Chr4" "TAIR10" "gene" 10453415 10454359 "AT4G19100" NA NA 1 NA NA NA NA NA NA
"10" "Chr1" "TAIR10" "gene" 21159744 21167321 "AT1G56500" NA NA NA 1 NA NA NA NA NA
"11" "Chr2" "TAIR10" "gene" 6036974 6040978 "AT2G14255" NA NA NA 1 NA NA NA NA NA
"12" "Chr1" "TAIR10" "gene" 18498639 18501886 "AT1G49960" NA NA NA NA 1 NA NA NA NA
"13" "Chr1" "TAIR10" "gene" 18522441 18539995 "AT1G50030" NA NA NA NA 1 NA NA NA NA
"14" "Chr1" "TAIR10" "gene" 24961634 24963946 "AT1G66910" NA NA NA NA 1 NA NA NA NA
"15" "Chr3" "TAIR10" "gene" 22642983 22643309 "AT3G61175" NA NA NA NA 1 NA NA NA NA
"16" "Chr1" "TAIR10" "gene" 19409711 19414678 "AT1G52150" NA NA NA NA NA 1 NA NA NA
"17" "Chr2" "TAIR10" "gene" 193701 199248 "AT2G01440" NA NA NA NA NA 1 NA NA NA
"18" "Chr3" "TAIR10" "gene" 18676059 18684346 "AT3G50370" NA NA NA NA NA 1 NA NA NA
"19" "Chr1" "TAIR10" "gene" 21721404 21722429 "AT1G58460" NA NA NA NA NA NA 1 NA NA
"20" "Chr2" "TAIR10" "gene" 15578415 15581308 "AT2G37070" NA NA NA NA NA NA 1 NA NA
"21" "Chr3" "TAIR10" "gene" 16260205 16262484 "AT3G44713" NA NA NA NA NA NA 1 NA NA
"22" "Chr4" "TAIR10" "gene" 13028219 13031799 "AT4G25515" NA NA NA NA NA NA 1 NA NA
"23" "Chr1" "TAIR10" "gene" 16739261 16741513 "AT1G44050" NA NA NA NA NA NA NA 1 NA
"24" "Chr2" "TAIR10" "gene" 11215252 11217033 "AT2G26340" NA NA NA NA NA NA NA 1 NA
"25" "Chr3" "TAIR10" "gene" 16195955 16201225 "AT3G44630" NA NA NA NA NA NA NA 1 NA
"26" "Chr1" "TAIR10" "gene" 13061638 13063450 "AT1G35490" NA NA NA NA NA NA NA NA 1
"27" "Chr2" "TAIR10" "gene" 11318771 11324174 "AT2G26610" NA NA NA NA NA NA NA NA 1
"28" "Chr3" "TAIR10" "gene" 2543616 2551225 "AT3G07980" NA NA NA NA NA NA NA NA 1
"29" "Chr4" "TAIR10" "gene" 6628404 6632599 "AT4G10770" NA NA NA NA NA NA NA NA 1
