"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N" "C" "Mg" "Na" "Comp1"
"1" "Chr1" "TAIR10" "gene" 16051795 16051935 "AT1G42699" 1 NA NA NA NA NA NA NA NA
"2" "Chr2" "TAIR10" "gene" 4096001 4096920 "AT2G10550" 1 NA NA NA NA NA NA NA NA
"3" "Chr2" "TAIR10" "gene" 6418199 6419236 "AT2G14920" 1 NA NA NA NA NA NA NA NA
"4" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA NA NA NA NA
"5" "Chr4" "TAIR10" "gene" 9467563 9469116 "AT4G16820" 1 NA NA NA NA NA NA NA NA
"6" "Chr4" "TAIR10" "gene" 9470385 9472594 "AT4G16830" 1 NA NA NA NA NA NA NA NA
"7" "Chr4" "TAIR10" "gene" 9472763 9474803 "AT4G16835" 1 NA NA NA NA NA NA NA NA
"8" "Chr5" "TAIR10" "gene" 7144877 7147277 "AT5G21040" 1 NA NA NA NA NA NA NA NA
"9" "Chr5" "TAIR10" "gene" 7147890 7148957 "AT5G21050" 1 NA NA NA NA NA NA NA NA
"10" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA NA
"11" "Chr1" "TAIR10" "gene" 2642214 2643285 "AT1G08390" NA 1 NA NA NA NA NA NA NA
"12" "Chr1" "TAIR10" "gene" 2643330 2646035 "AT1G08400" NA 1 NA NA NA NA NA NA NA
"13" "Chr1" "TAIR10" "gene" 2646189 2649379 "AT1G08410" NA 1 NA NA NA NA NA NA NA
"14" "Chr1" "TAIR10" "gene" 2649537 2657120 "AT1G08420" NA 1 NA NA NA NA NA NA NA
"15" "Chr1" "TAIR10" "gene" 11246914 11249359 "AT1G31410" NA 1 NA NA NA NA NA NA NA
"16" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA NA NA NA NA
"17" "Chr1" "TAIR10" "gene" 11253936 11255737 "AT1G31430" NA 1 NA NA NA NA NA NA NA
"18" "Chr1" "TAIR10" "gene" 11255836 11258715 "AT1G31440" NA 1 NA NA NA NA NA NA NA
"19" "Chr1" "TAIR10" "gene" 19409711 19414678 "AT1G52150" NA 1 NA NA NA 1 NA NA NA
"20" "Chr1" "TAIR10" "gene" 19417666 19419853 "AT1G52155" NA 1 NA NA NA 1 NA NA NA
"21" "Chr3" "TAIR10" "gene" 5374248 5376275 "AT3G15890" NA 1 NA NA NA NA NA NA NA
"22" "Chr3" "TAIR10" "gene" 5376251 5377179 "AT3G15900" NA 1 NA NA NA NA NA NA NA
"23" "Chr3" "TAIR10" "gene" 5381603 5381740 "AT3G15909" NA 1 NA NA NA NA NA NA NA
"24" "Chr3" "TAIR10" "gene" 5382061 5383069 "AT3G15910" NA 1 NA NA NA NA NA NA NA
"25" "Chr5" "TAIR10" "gene" 14681378 14686684 "AT5G37130" NA 1 NA NA NA NA NA NA NA
"26" "Chr5" "TAIR10" "gene" 14690436 14692851 "AT5G37140" NA 1 NA NA NA NA NA NA NA
"27" "Chr5" "TAIR10" "gene" 21860997 21864973 "AT5G53850" NA 1 NA NA NA NA NA NA NA
"28" "Chr5" "TAIR10" "gene" 21865268 21868948 "AT5G53860" NA 1 NA NA NA NA NA NA NA
"29" "Chr5" "TAIR10" "gene" 21869864 21871284 "AT5G53870" NA 1 NA NA NA NA NA NA NA
"30" "Chr5" "TAIR10" "gene" 21872794 21873303 "AT5G53880" NA 1 NA NA NA NA NA NA NA
"31" "Chr1" "TAIR10" "gene" 22744207 22746111 "AT1G61630" NA NA 1 NA NA NA NA NA NA
"32" "Chr1" "TAIR10" "gene" 22746372 22749184 "AT1G61640" NA NA 1 NA NA NA NA NA NA
"33" "Chr1" "TAIR10" "gene" 24957558 24958114 "AT1G66890" NA NA 1 NA 1 NA NA NA NA
"34" "Chr1" "TAIR10" "gene" 24959334 24961616 "AT1G66900" NA NA 1 NA 1 NA NA NA NA
"35" "Chr1" "TAIR10" "gene" 24961634 24963946 "AT1G66910" NA NA 1 NA 1 NA NA NA NA
"36" "Chr1" "TAIR10" "gene" 24965304 24967522 "AT1G66920" NA NA 1 NA 1 NA NA NA NA
"37" "Chr2" "TAIR10" "gene" 8086860 8088131 "AT2G18650" NA NA 1 NA NA NA NA NA NA
"38" "Chr2" "TAIR10" "gene" 8090658 8091656 "AT2G18660" NA NA 1 NA NA NA NA NA NA
"39" "Chr2" "TAIR10" "gene" 8093220 8095729 "AT2G18670" NA NA 1 NA NA NA NA NA NA
"40" "Chr2" "TAIR10" "gene" 8094780 8095779 "AT2G18680" NA NA 1 NA NA NA NA NA NA
"41" "Chr3" "TAIR10" "gene" 20296232 20298691 "AT3G54810" NA NA 1 NA NA NA NA NA NA
"42" "Chr3" "TAIR10" "gene" 20302021 20304010 "AT3G54820" NA NA 1 NA NA NA NA NA NA
"43" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA NA NA NA NA
"44" "Chr4" "TAIR10" "gene" 9699253 9700410 "AT4G17340" NA NA 1 NA NA NA NA NA NA
"45" "Chr4" "TAIR10" "gene" 10427807 10428516 "AT4G19035" NA NA 1 NA NA NA NA NA NA
"46" "Chr4" "TAIR10" "gene" 10430009 10430998 "AT4G19038" NA NA 1 NA NA NA NA NA NA
"47" "Chr4" "TAIR10" "gene" 10431520 10437431 "AT4G19040" NA NA 1 NA NA NA NA NA NA
"48" "Chr4" "TAIR10" "gene" 10448813 10449796 "AT4G19080" NA NA 1 NA NA NA NA NA NA
