"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N" "C" "Mg" "Na" "Comp1"
"1" "Chr1" "TAIR10" "gene" 16051795 16051935 "AT1G42699" 1 NA NA NA NA NA NA NA NA
"2" "Chr2" "TAIR10" "gene" 4096001 4096920 "AT2G10550" 1 NA NA NA 1 NA NA NA NA
"3" "Chr2" "TAIR10" "gene" 6418199 6419236 "AT2G14920" 1 NA NA NA NA NA NA NA NA
"4" "Chr2" "TAIR10" "gene" 6431471 6431826 "AT2G14935" 1 NA NA NA NA NA NA NA NA
"5" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA NA NA NA NA
"6" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA NA NA NA NA
"7" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA NA NA NA NA
"8" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA NA NA NA NA
"9" "Chr4" "TAIR10" "gene" 9457317 9459394 "AT4G16807" 1 NA NA NA NA NA NA NA NA
"10" "Chr4" "TAIR10" "gene" 9459870 9462253 "AT4G16810" 1 NA NA NA NA NA NA NA NA
"11" "Chr4" "TAIR10" "gene" 9467563 9469116 "AT4G16820" 1 NA NA NA NA NA NA NA NA
"12" "Chr4" "TAIR10" "gene" 9470385 9472594 "AT4G16830" 1 NA NA NA NA NA NA NA NA
"13" "Chr4" "TAIR10" "gene" 9472763 9474803 "AT4G16835" 1 NA NA NA NA NA NA NA NA
"14" "Chr4" "TAIR10" "gene" 9474885 9475523 "AT4G16840" 1 NA NA NA NA NA NA NA NA
"15" "Chr4" "TAIR10" "gene" 9476143 9479878 "AT4G16845" 1 NA NA NA NA NA NA NA NA
"16" "Chr5" "TAIR10" "gene" 7139892 7144272 "AT5G21030" 1 NA NA NA NA NA NA NA NA
"17" "Chr5" "TAIR10" "gene" 7144877 7147277 "AT5G21040" 1 NA NA NA NA NA NA NA NA
"18" "Chr5" "TAIR10" "gene" 7147890 7148957 "AT5G21050" 1 NA NA NA NA NA NA NA NA
"19" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA NA
"20" "Chr5" "TAIR10" "gene" 7156173 7157775 "AT5G21070" 1 NA NA NA NA NA NA NA NA
"21" "Chr5" "TAIR10" "gene" 7158035 7163188 "AT5G21080" 1 NA NA NA NA NA NA NA NA
"22" "Chr1" "TAIR10" "gene" 2638181 2640554 "AT1G08370" NA 1 NA NA NA NA NA NA NA
"23" "Chr1" "TAIR10" "gene" 2640813 2641828 "AT1G08380" NA 1 NA NA NA NA NA NA NA
"24" "Chr1" "TAIR10" "gene" 2642214 2643285 "AT1G08390" NA 1 NA NA NA NA NA NA NA
"25" "Chr1" "TAIR10" "gene" 2643330 2646035 "AT1G08400" NA 1 NA NA NA NA NA NA NA
"26" "Chr1" "TAIR10" "gene" 2646189 2649379 "AT1G08410" NA 1 NA NA NA NA NA NA NA
"27" "Chr1" "TAIR10" "gene" 2649537 2657120 "AT1G08420" NA 1 NA NA NA NA NA NA NA
"28" "Chr1" "TAIR10" "gene" 11243191 11244392 "AT1G31390" NA 1 NA NA NA NA NA NA NA
"29" "Chr1" "TAIR10" "gene" 11245225 11246481 "AT1G31400" NA 1 NA NA NA NA NA NA NA
