"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N" "C" "Mg" "Na" "Comp1"
"1" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA NA
"2" "Chr1" "TAIR10" "gene" 29404648 29406752 "AT1G78150" NA 1 NA NA NA NA NA NA NA
"3" "Chr2" "TAIR10" "gene" 11956432 11959782 "AT2G28070" NA 1 NA NA NA NA NA NA NA
"4" "Chr5" "TAIR10" "gene" 9684072 9685561 "AT5G27420" NA 1 NA NA NA NA NA NA NA
"5" "Chr5" "TAIR10" "gene" 20239343 20246380 "AT5G49810" NA 1 NA NA NA NA NA NA NA
"6" "Chr1" "TAIR10" "gene" 10625029 10627105 "AT1G30200" NA NA 1 NA NA NA NA NA NA
"7" "Chr1" "TAIR10" "gene" 10627185 10630610 "AT1G30210" NA NA 1 NA NA NA NA NA NA
"8" "Chr1" "TAIR10" "gene" 24959334 24961616 "AT1G66900" NA NA 1 NA NA NA NA NA NA
"9" "Chr1" "TAIR10" "gene" 24961634 24963946 "AT1G66910" NA NA 1 NA NA NA NA NA NA
"10" "Chr2" "TAIR10" "gene" 416911 420588 "AT2G01910" NA NA 1 NA NA NA NA NA NA
"11" "Chr4" "TAIR10" "gene" 8378429 8380714 "AT4G14605" NA NA 1 NA NA NA NA NA NA
"12" "Chr4" "TAIR10" "gene" 13253210 13254904 "AT4G26150" NA NA 1 NA NA NA NA NA NA
"13" "Chr1" "TAIR10" "gene" 17358447 17360722 "AT1G47350" NA NA NA 1 NA NA NA NA NA
"14" "Chr1" "TAIR10" "gene" 17572451 17573159 "AT1G47760" NA NA NA 1 NA NA NA NA NA
"15" "Chr1" "TAIR10" "gene" 22397592 22397662 "AT1G60840" NA NA NA 1 NA NA NA NA NA
"16" "Chr1" "TAIR10" "gene" 22397916 22400362 "AT1G60850" NA NA NA 1 NA NA NA NA NA
"17" "Chr2" "TAIR10" "gene" 16470025 16471246 "AT2G39445" NA NA NA 1 NA NA NA NA NA
"18" "Chr2" "TAIR10" "gene" 16471632 16473818 "AT2G39450" NA NA NA 1 NA NA NA NA NA
"19" "Chr1" "TAIR10" "gene" 16151095 16152240 "AT1G43005" NA NA NA NA 1 NA NA NA NA
"20" "Chr2" "TAIR10" "gene" 19378869 19382418 "AT2G47210" NA NA NA NA 1 NA NA NA NA
"21" "Chr2" "TAIR10" "gene" 19383743 19386954 "AT2G47220" NA NA NA NA 1 NA NA NA NA
"22" "Chr4" "TAIR10" "gene" 5847401 5849724 "AT4G09180" NA NA NA NA 1 NA NA NA NA
"23" "Chr5" "TAIR10" "gene" 24094474 24096532 "AT5G59800" NA NA NA NA 1 NA NA NA NA
"24" "Chr5" "TAIR10" "gene" 24096815 24100557 "AT5G59810" NA NA NA NA 1 NA NA NA NA
"25" "Chr1" "TAIR10" "gene" 20774046 20776294 "AT1G55600" NA NA NA NA NA 1 NA NA NA
"26" "Chr2" "TAIR10" "gene" 16852880 16856690 "AT2G40360" NA NA NA NA NA 1 NA NA NA
"27" "Chr3" "TAIR10" "gene" 16271652 16273344 "AT3G44720" NA NA NA NA NA 1 NA NA NA
"28" "Chr3" "TAIR10" "gene" 18676059 18684346 "AT3G50370" NA NA NA NA NA 1 NA NA NA
"29" "Chr1" "TAIR10" "gene" 7671028 7674215 "AT1G21860" NA NA NA NA NA NA 1 NA NA
"30" "Chr4" "TAIR10" "gene" 7307737 7309755 "AT4G12300" NA NA NA NA NA NA 1 NA NA
"31" "Chr4" "TAIR10" "gene" 7310416 7312577 "AT4G12310" NA NA NA NA NA NA 1 NA NA
"32" "Chr5" "TAIR10" "gene" 15373094 15374726 "AT5G38396" NA NA NA NA NA NA 1 NA NA
"33" "Chr1" "TAIR10" "gene" 5875350 5876545 "AT1G17190" NA NA NA NA NA NA NA 1 NA
"34" "Chr1" "TAIR10" "gene" 17603504 17604559 "AT1G47810" NA NA NA NA NA NA NA 1 NA
"35" "Chr2" "TAIR10" "gene" 7664103 7666522 "AT2G17620" NA NA NA NA NA NA NA 1 NA
"36" "Chr3" "TAIR10" "gene" 16195955 16201225 "AT3G44630" NA NA NA NA NA NA NA 1 NA
"37" "Chr3" "TAIR10" "gene" 18617424 18618729 "AT3G50220" NA NA NA NA NA NA NA 1 NA
"38" "Chr3" "TAIR10" "gene" 18620599 18623200 "AT3G50230" NA NA NA NA NA NA NA 1 NA
"39" "Chr5" "TAIR10" "gene" 5643118 5647783 "AT5G17165" NA NA NA NA NA NA NA 1 NA
"40" "Chr1" "TAIR10" "gene" 13061638 13063450 "AT1G35490" NA NA NA NA NA NA NA NA 1
"41" "Chr3" "TAIR10" "gene" 21810260 21817555 "AT3G59020" NA NA NA NA NA NA NA NA 1
"42" "Chr4" "TAIR10" "gene" 17212662 17213099 "AT4G36460" NA NA NA NA NA NA NA NA 1
"43" "Chr5" "TAIR10" "gene" 817864 825149 "AT5G03360" NA NA NA NA NA NA NA NA 1
"44" "Chr5" "TAIR10" "gene" 9269282 9270254 "AT5G26594" NA NA NA NA NA NA NA NA 1
