"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N" "C" "Mg" "Na" "Comp1"
"1" "Chr2" "TAIR10" "gene" 6418199 6419236 "AT2G14920" 1 NA NA NA NA NA NA NA NA
"2" "Chr5" "TAIR10" "gene" 7144877 7147277 "AT5G21040" 1 NA NA NA NA NA NA NA NA
"3" "Chr5" "TAIR10" "gene" 7147890 7148957 "AT5G21050" 1 NA NA NA NA NA NA NA NA
"4" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA NA
"5" "Chr1" "TAIR10" "gene" 29400140 29401902 "AT1G78130" NA 1 NA NA NA NA NA NA NA
"6" "Chr1" "TAIR10" "gene" 29401759 29403946 "AT1G78140" NA 1 NA NA NA NA NA NA NA
"7" "Chr1" "TAIR10" "gene" 29404648 29406752 "AT1G78150" NA 1 NA NA NA NA NA NA NA
"8" "Chr1" "TAIR10" "gene" 29407900 29410184 "AT1G78160" NA 1 NA NA NA NA NA NA NA
"9" "Chr2" "TAIR10" "gene" 11949986 11952204 "AT2G28060" NA 1 NA NA NA NA NA NA NA
"10" "Chr2" "TAIR10" "gene" 11956432 11959782 "AT2G28070" NA 1 NA NA NA NA NA NA NA
"11" "Chr2" "TAIR10" "gene" 12139580 12143465 "AT2G28390" NA 1 NA NA NA NA NA NA NA
"12" "Chr2" "TAIR10" "gene" 12148304 12149052 "AT2G28400" NA 1 NA NA NA NA NA NA NA
"13" "Chr2" "TAIR10" "gene" 12150380 12150502 "AT2G28401" NA 1 NA NA NA NA NA NA NA
"14" "Chr5" "TAIR10" "gene" 9676334 9682940 "AT5G27410" NA 1 NA NA NA NA NA NA NA
"15" "Chr5" "TAIR10" "gene" 9684072 9685561 "AT5G27420" NA 1 NA NA NA NA NA NA NA
"16" "Chr5" "TAIR10" "gene" 9687378 9689420 "AT5G27430" NA 1 NA NA NA NA NA NA NA
"17" "Chr5" "TAIR10" "gene" 9689498 9690318 "AT5G27440" NA 1 NA NA NA NA NA NA NA
